"Category","Oil Production","Gas Production","Water Production","Number of Wells"
"2005-08",549137,6346879,140993,4866
"2005-09",520460,6114993,138078,4904
"2005-10",547191,6392039,141964,4927
"2005-11",534812,6144172,127627,4982
"2005-12",522901,6211120,129160,5016
"2006-01",571971,6423548,144401,5084
"2006-02",512172,5936719,128127,5140
"2006-03",604066,6786415,120284,5198
"2006-04",569092,6603811,136976,5242
"2006-05",631528,6940287,145744,5312
"2006-06",589342,6747131,141549,5377
"2006-07",614681,7210531,121025,5444
"2006-08",629785,7285144,139227,5522
"2006-09",613937,7047818,399140,5586
"2006-10",699539,7436380,147270,5679
"2006-11",674716,7461635,153112,5741
"2006-12",610327,7241751,139562,5802
"2007-01",578406,6387333,121601,5871
"2007-02",575103,6128045,123284,5958
"2007-03",751059,7819368,167784,6045
"2007-04",773635,7865244,155042,6129
"2007-05",818643,8314475,133678,6190
"2007-06",751043,7696913,129515,6298
"2007-07",818225,8890046,140230,6391
"2007-08",861062,8728836,216580,6499
"2007-09",805740,8423170,181523,6562
"2007-10",896419,8559584,192452,6671
"2007-11",875491,8538681,186748,6777
"2007-12",871883,8418909,173160,6871
"2008-01",871518,8249731,168467,6968
"2008-02",906387,8268436,174960,7094
"2008-03",1036189,9490525,220852,7252
"2008-04",1045951,9602707,207936,7390
"2008-05",1084934,10048867,211280,7476
"2008-06",1071418,9786913,206213,7589
"2008-07",1111524,10084187,201583,7709
"2008-08",1125627,10471881,215851,7797
"2008-09",1231832,10302335,228636,7934
"2008-10",1226595,10560457,212372,8038
"2008-11",1212236,10778869,213666,8161
"2008-12",1193719,10477765,204414,8264
"2009-01",1211403,10767693,201234,8398
"2009-02",1128890,10063640,184899,8509
"2009-03",1267279,11524166,204507,8565
"2009-04",1110640,10499651,198941,8302
"2009-05",1180045,11248573,193062,8387
"2009-06",1153637,10764381,203433,8459
"2009-07",1166452,11071728,184624,8580
"2009-08",1218911,11390144,207091,8778
"2009-09",1197425,11039482,246531,8830
"2009-10",1211898,10979834,285069,8796
"2009-11",1251819,10993441,264292,9131
"2009-12",1224589,11159024,285696,9252
"2010-01",1354499,11843663,325551,9475
"2010-02",1264378,11062535,317765,9593
"2010-03",1387149,12440825,375809,9658
"2010-04",1340353,12452283,357515,9795
"2010-05",1417157,13218867,332230,9925
"2010-06",1347243,12448024,223013,10046
"2010-07",1273165,11653745,252678,9656
"2010-08",1521596,13266854,379624,10296
"2010-09",1523572,12882586,309109,10410
"2010-10",1574481,13191896,452546,10528
"2010-11",1556761,13122303,457850,10650
"2010-12",1753163,13809284,544094,10779
"2011-01",1663241,13428155,492925,10946
"2011-02",1527016,12102259,471704,11071
"2011-03",1799693,14266857,534307,11235
"2011-04",1836412,14070123,571211,11369
"2011-05",1874036,14220503,624752,11749
"2011-06",1895287,14484533,617291,11783
"2011-07",1937567,15072115,664515,11923
"2011-08",2043707,15459974,707456,12183
"2011-09",2028693,14690073,685156,12087
"2011-10",2158008,15987647,640011,11983
"2011-11",2207252,15924728,606288,12162
"2011-12",2239933,16376088,709991,12314
"2012-01",2277350,16082507,616476,12071
"2012-02",2201079,15646286,679295,12414
"2012-03",2442989,17134603,710112,12750
"2012-04",2281469,15157467,729476,12860
"2012-05",2655628,17799238,883765,12965
"2012-06",2448732,16242280,787453,13200
"2012-07",2679599,16909167,870218,13335
"2012-08",2719132,17001640,822675,13433
"2012-09",2827936,17724058,734251,13509
"2012-10",3301495,20044719,917142,13794
"2012-11",3383207,19773697,1031136,13891
"2012-12",3592078,20693680,1129162,14050
"2013-01",3407130,20351846,881630,14180
"2013-02",3240090,18958305,874146,14202
"2013-03",3651240,21292860,1007412,14283
"2013-04",3610301,20875502,873432,14309
"2013-05",3724509,21419558,1044554,14436
"2013-06",3685690,20573347,1052581,14518
"2013-07",4058021,21763764,1212175,14653
"2013-08",4259308,22618532,1108401,14563
"2013-09",4078442,21025659,1059186,14503
"2013-10",4677125,23495966,1043585,14514
"2013-11",4539057,23088877,1141418,14425
"2013-12",4493016,22110735,1209343,14553
"2014-01",4525729,21906442,1160619,14729
"2014-02",4233613,20824659,926927,14742
"2014-03",5111305,24595974,1469924,14747
"2014-04",5037251,25312827,1439643,14877
"2014-05",5532457,27412377,1154521,14560
"2014-06",5492184,26447448,1332765,14912
"2014-07",5859180,27261900,1674549,15180
"2014-08",6169964,29853416,1581064,15133
"2014-09",5846572,28250865,1835989,15168
"2014-10",6198638,30460324,1853583,15322
"2014-11",6044285,28834451,1777179,15389
"2014-12",6422747,31550220,1971318,15424
"2015-01",6548946,31689513,1769930,15448
"2015-02",5998726,29746273,1536782,15605
"2015-03",6518533,33621809,1694001,15668
"2015-04",5963970,32376685,1701818,15618
"2015-05",5986313,32739063,1523373,15671
"2015-06",5627412,32265587,1755475,15684
"2015-07",5809660,32150669,1791162,15697
"2015-08",5792556,34223465,1720828,15737
"2015-09",5406446,31423969,1810019,14797
"2015-10",5692057,34356828,1667064,15615
"2015-11",5185085,32595934,1567251,15585
"2015-12",4860067,32277879,1330090,15449
"2016-01",5009018,33164441,1412399,15596
"2016-02",4744970,31326943,1499987,15589
"2016-03",4884674,33124691,1407308,15615
"2016-04",4641566,32446578,1172651,15578
"2016-05",4627467,33132824,1310254,15425
"2016-06",4235830,30253744,1238803,15400
"2016-07",4499453,30689803,1451312,15379
"2016-08",4637530,31436062,1605574,15379
"2016-09",4475543,30082877,1630411,15350
"2016-10",4676440,31774133,1596194,14635
"2016-11",4909837,33408940,1587311,15289
"2016-12",4819549,33879556,1566425,15271
"2017-01",4738701,34387290,1632996,15301
"2017-02",4374910,31415891,1656747,15304
"2017-03",5094837,35108462,1851944,15280
"2017-04",4906572,33307511,1779976,14906
"2017-05",5047358,33662220,1928616,15200
"2017-06",4615954,31344143,1822063,14516
"2017-07",4968083,32946340,1971482,14465
"2017-08",5676776,34465000,2042123,14669
"2017-09",5933232,36250447,2167667,15188
"2017-10",6346460,38174116,2109975,15208
"2017-11",6284151,38620745,1976728,15201
